rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
181,QPSK,0.05,0.1,0.011,32,0.0,0.0,80.0,0.0,1798.4,1
182,QPSK,0.05,0.105,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
183,QPSK,0.02,0.1,0.127,32,0.0,0.0,80.0,0.0,1798.4,1
184,QPSK,0.0314,0.095,0.045,32,0.0,0.0,80.0,0.0,1798.4,1
185,QPSK,0.0314,0.095,0.105,32,0.0,0.0,80.0,0.0,1798.4,1
186,QPSK,0.0628,0.12,0.069,32,0.0,0.0,80.0,0.0,1798.4,1
187,BPSK,0.05,0.06,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
188,QPSK,0.0314,0.12,0.113,32,0.0,0.0,80.0,0.0,1798.4,1
189,BPSK,0.0314,0.055,0.053,32,0.0,0.0,80.0,0.0,1798.4,1
190,BPSK,0.05,0.04,0.011,32,0.0,0.0,80.0,0.0,1798.4,1
191,BPSK,0.05,0.11,0.061,32,0.0,0.0,80.0,0.0,1798.4,1
192,QPSK,0.05,0.075,0.063,32,0.0,0.0,80.0,0.0,1798.4,1
193,QPSK,0.0628,0.085,0.115,32,0.0,0.0,80.0,0.0,1798.4,1
194,BPSK,0.0314,0.05,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
195,QPSK,0.05,0.065,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
196,QPSK,0.0314,0.065,0.097,32,0.0,0.0,80.0,0.0,1798.4,1
197,QPSK,0.0314,0.05,0.071,32,0.0,0.0,80.0,0.0,1798.4,1
198,QPSK,0.0628,0.05,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
199,QPSK,0.02,0.04,0.135,32,0.0,0.0,80.0,0.0,1798.4,1
200,QPSK,0.0628,0.07,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
201,QPSK,0.05,0.08,0.115,32,0.0,0.0,80.0,0.0,1798.4,1
202,QPSK,0.02,0.12,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
203,QPSK,0.05,0.12,0.039,32,0.0,0.0,80.0,0.0,1798.4,1
204,QPSK,0.0314,0.065,0.131,32,0.0,0.0,80.0,0.0,1798.4,1
205,BPSK,0.0314,0.065,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
206,QPSK,0.0628,0.04,0.077,32,0.0,0.0,80.0,0.0,1798.4,1
207,QPSK,0.0628,0.08,0.029,32,0.0,0.0,80.0,0.0,1798.4,1
208,BPSK,0.05,0.06,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
209,QPSK,0.02,0.1,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
210,BPSK,0.02,0.05,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
211,QPSK,0.0314,0.02,0.023,32,0.0,0.0,80.0,0.0,1798.4,1
