Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.0628,0.045,64,0.1,0.005,0.9995,80.0,0.005000000000000001,8,10,0.06426739692687988
QPSK,0.0314,0.0628,0.045,16,0.1,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.07372617721557617
QPSK,0.0314,0.0628,0.045,48,0.5,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.06640505790710449
BPSK,0.0314,0.3176,0.3697,32,0.0,0.0,1.0,0.0,0.5,0,10,0.061821937561035156
QPSK,0.0314,0.4218,0.3437,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.06408953666687012
QPSK,0.0314,0.5,0.1874,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06938600540161133
QPSK,0.02,0.03,0.045,32,0.02,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06389474868774414
QPSK,0.0314,0.3958,0.0311,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06886744499206543
BPSK,0.0314,0.1092,0.4218,32,0.15,0.0,1.0,0.0,0.025,0,10,0.06481313705444336
QPSK,0.0314,0.0628,0.08,24,0.2,0.005,1.0,90.0,0.0025000000000000005,9,10,0.08489632606506348
BPSK,0.0314,0.0832,0.3697,32,0.15,0.0,1.0,0.0,0.025,0,10,0.06395649909973145
QPSK,0.0314,0.3437,0.2916,32,0.0,0.0,1.0,90.0,0.0,9,10,0.07011222839355469
BPSK,0.0314,0.0628,0.025,64,0.1,0.005,0.9995,70.0,0.0075,7,10,0.06540894508361816
BPSK,0.0314,0.0628,0.045,32,0.35,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.07575774192810059
QPSK,0.0314,0.0628,0.025,16,0.05,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.049236297607421875
QPSK,0.0314,0.2395,0.005,32,0.15,0.0,1.0,80.0,0.005000000000000001,8,10,0.0781867504119873
BPSK,0.0314,0.1092,0.0311,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.058823347091674805
BPSK,0.0314,0.0571,0.0311,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07204484939575195
BPSK,0.0314,0.1613,0.3697,32,0.15,0.0,1.0,0.0,0.025,0,10,0.06311845779418945
BPSK,0.0314,0.3958,0.0571,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07223963737487793
BPSK,0.0314,0.4218,0.4739,32,0.15,0.0,1.0,0.0,0.025,0,10,0.059274911880493164
BPSK,0.0314,0.0628,0.08,48,0.1,0.005,0.9995,70.0,0.0075,7,10,0.05834507942199707
QPSK,0.12,0.1,0.045,32,0.02,-0.03,1.0,90.0,0.0025000000000000005,9,10,0.0701286792755127
QPSK,0.0314,0.0628,0.08,32,0.1,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.07056117057800293
QPSK,0.0314,0.0628,0.08,64,0.1,0.005,1.0,90.0,0.0025000000000000005,9,10,0.05732393264770508
BPSK,0.0314,0.2395,0.005,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06755685806274414
QPSK,0.0314,0.0628,0.045,24,0.1,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.10268139839172363
BPSK,0.0314,0.2395,0.0571,32,0.0,0.0,1.0,90.0,0.0,9,10,0.05962419509887695
BPSK,0.0314,0.0628,0.08,32,0.35,0.005,1.0,70.0,0.0075,7,10,0.0802462100982666
BPSK,0.05,0.0628,0.045,32,0.02,-0.03,1.0,90.0,0.0025000000000000005,9,10,0.06721687316894531
BPSK,0.0314,0.1874,0.2655,32,0.0,0.0,1.0,90.0,0.0,9,10,0.07207584381103516
BPSK,0.12,0.03,0.045,32,0.02,0.03,1.0,90.0,0.0025000000000000005,9,10,0.06723499298095703
QPSK,0.0314,0.0628,0.08,24,0.35,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.05997347831726074
BPSK,0.0314,0.5,0.2655,32,0.0,0.0,1.0,90.0,0.0,9,10,0.059917449951171875
QPSK,0.0314,0.1,0.045,32,0.02,0.0,1.0,90.0,0.0025000000000000005,9,10,0.056525468826293945
QPSK,0.0314,0.0628,0.045,48,0.35,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.07010817527770996
QPSK,0.0314,0.0628,0.045,24,0.0,0.005,1.0002,90.0,0.0,9,10,0.06647229194641113
BPSK,0.0314,0.03,0.045,32,0.02,0.03,1.0,90.0,0.0025000000000000005,9,10,0.07028579711914062
QPSK,0.0314,0.0628,0.025,64,0.0,0.005,0.9995,90.0,0.0,9,10,0.05234193801879883
