Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.01,0.03,0.08,48,0.2,-0.015,1.0002,80.0,0.010000000000000002,8,10,0.04881691932678223
BPSK,0.01,0.03,0.08,48,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.05989789962768555
BPSK,0.01,0.03,0.08,48,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.047605276107788086
BPSK,0.01,0.03,0.08,48,0.2,0.015,0.9998,80.0,0.010000000000000002,8,10,0.05236506462097168
BPSK,0.01,0.03,0.08,48,0.2,0.015,1.0002,80.0,0.010000000000000002,8,10,0.04457449913024902
BPSK,0.01,0.03,0.08,48,0.45,-0.015,0.9998,70.0,0.015,7,10,0.04732656478881836
BPSK,0.01,0.03,0.08,48,0.45,-0.015,1.0002,70.0,0.015,7,10,0.051657915115356445
BPSK,0.01,0.03,0.08,48,0.45,0.0,0.9998,70.0,0.015,7,10,0.05474066734313965
BPSK,0.01,0.03,0.08,48,0.45,0.0,1.0002,70.0,0.015,7,10,0.041347503662109375
BPSK,0.01,0.03,0.08,48,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.05907726287841797
BPSK,0.01,0.03,0.08,48,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.0496525764465332
BPSK,0.01,0.0628,0.025,16,0.0,-0.015,0.9998,90.0,0.0,9,10,0.05150794982910156
BPSK,0.01,0.0628,0.025,16,0.0,-0.015,1.0002,90.0,0.0,9,10,0.04487800598144531
BPSK,0.01,0.0628,0.025,16,0.0,0.0,0.9998,90.0,0.0,9,10,0.04243111610412598
BPSK,0.01,0.0628,0.025,16,0.0,0.0,1.0002,90.0,0.0,9,10,0.0443880558013916
BPSK,0.01,0.0628,0.025,16,0.0,0.015,0.9998,90.0,0.0,9,10,0.05174994468688965
BPSK,0.01,0.0628,0.025,16,0.0,0.015,1.0002,90.0,0.0,9,10,0.05047345161437988
BPSK,0.01,0.0628,0.025,16,0.2,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.048020124435424805
BPSK,0.01,0.0628,0.025,16,0.2,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.04253029823303223
BPSK,0.01,0.0628,0.025,16,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.03593301773071289
BPSK,0.01,0.0628,0.025,16,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.0458681583404541
BPSK,0.01,0.0628,0.025,16,0.2,0.015,0.9998,90.0,0.005000000000000001,9,10,0.04136490821838379
BPSK,0.01,0.0628,0.025,16,0.2,0.015,1.0002,90.0,0.005000000000000001,9,10,0.053748130798339844
BPSK,0.01,0.0628,0.025,16,0.45,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.04628920555114746
BPSK,0.01,0.0628,0.025,16,0.45,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.05066871643066406
BPSK,0.01,0.0628,0.025,16,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.042348623275756836
BPSK,0.01,0.0628,0.025,16,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.0543668270111084
BPSK,0.01,0.0628,0.025,16,0.45,0.015,0.9998,90.0,0.005000000000000001,9,10,0.0536346435546875
BPSK,0.01,0.0628,0.025,16,0.45,0.015,1.0002,90.0,0.005000000000000001,9,10,0.04778933525085449
BPSK,0.01,0.0628,0.025,32,0.0,-0.015,0.9998,90.0,0.0,9,10,0.04581570625305176
BPSK,0.01,0.0628,0.025,32,0.0,-0.015,1.0002,90.0,0.0,9,10,0.06994819641113281
BPSK,0.01,0.0628,0.025,32,0.0,0.0,0.9998,90.0,0.0,9,10,0.057734012603759766
BPSK,0.01,0.0628,0.025,32,0.0,0.0,1.0002,90.0,0.0,9,10,0.06228780746459961
BPSK,0.01,0.0628,0.025,32,0.0,0.015,0.9998,90.0,0.0,9,10,0.044237613677978516
BPSK,0.01,0.0628,0.025,32,0.0,0.015,1.0002,90.0,0.0,9,10,0.04227876663208008
BPSK,0.01,0.0628,0.025,32,0.2,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.04006338119506836
BPSK,0.01,0.0628,0.025,32,0.2,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.04300189018249512
BPSK,0.01,0.0628,0.025,32,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.06406474113464355
BPSK,0.01,0.0628,0.025,32,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.038852691650390625
BPSK,0.01,0.0628,0.025,32,0.2,0.015,0.9998,90.0,0.005000000000000001,9,10,0.039617300033569336
BPSK,0.01,0.0628,0.025,32,0.2,0.015,1.0002,90.0,0.005000000000000001,9,10,0.04475569725036621
BPSK,0.01,0.0628,0.025,32,0.45,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.04824471473693848
BPSK,0.01,0.0628,0.025,32,0.45,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.04029345512390137
BPSK,0.01,0.0628,0.025,32,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.046133995056152344
BPSK,0.01,0.0628,0.025,32,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04796743392944336
BPSK,0.01,0.0628,0.025,32,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.03577280044555664
BPSK,0.01,0.0628,0.025,32,0.45,0.015,1.0002,90.0,0.005000000000000001,9,10,0.04724740982055664
BPSK,0.01,0.0628,0.025,48,0.0,-0.015,0.9998,90.0,0.0,9,10,0.05700373649597168
BPSK,0.01,0.0628,0.025,48,0.0,-0.015,1.0002,90.0,0.0,9,10,0.053766727447509766
BPSK,0.01,0.0628,0.025,48,0.0,0.0,0.9998,90.0,0.0,9,10,0.05512261390686035
BPSK,0.01,0.0628,0.025,48,0.0,0.0,1.0002,90.0,0.0,9,10,0.0459599494934082
BPSK,0.01,0.0628,0.025,48,0.0,0.015,0.9998,90.0,0.0,9,10,0.05375027656555176
BPSK,0.01,0.0628,0.025,48,0.0,0.015,1.0002,90.0,0.0,9,10,0.06241941452026367
BPSK,0.01,0.0628,0.025,48,0.2,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.04801511764526367
BPSK,0.01,0.0628,0.025,48,0.2,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.05007600784301758
BPSK,0.01,0.0628,0.025,48,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.04586648941040039
BPSK,0.01,0.0628,0.025,48,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.049732208251953125
BPSK,0.01,0.0628,0.025,48,0.2,0.015,0.9998,90.0,0.005000000000000001,9,10,0.05089306831359863
BPSK,0.01,0.0628,0.025,48,0.2,0.015,1.0002,90.0,0.005000000000000001,9,10,0.06642866134643555
