Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,Platform,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.0628,0.5,16,0.05,0.005,1.0001,software,0.0,0.025,0,10,0.06013321876525879
BPSK,0.018,0.1,0.025,32,0.02,-0.02,1.0,hardware,90.0,0.0025000000000000005,9,10,0.06247091293334961
QPSK,0.018,0.1,0.025,32,0.02,-0.03,1.0,hardware,90.0,0.0025000000000000005,9,10,0.06585264205932617
BPSK,0.0314,0.0628,0.01,64,0.18,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.06131315231323242
QPSK,0.0314,0.09,0.145,32,0.15,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.05875658988952637
QPSK,0.1,0.1,0.025,32,0.02,0.01,1.0,software,90.0,0.0025000000000000005,9,10,0.0565643310546875
QPSK,0.0314,0.0628,0.5,64,0.25,0.005,0.9996,software,0.0,0.025,0,10,0.0667564868927002
BPSK,0.0314,0.0628,0.5,24,0.18,0.005,1.0008,software,0.0,0.025,0,10,0.06622433662414551
QPSK,0.0314,0.0628,0.5,48,0.12,0.005,0.9992,software,0.0,0.025,0,10,0.06455278396606445
BPSK,0.0314,0.0628,0.025,16,0.12,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.07085943222045898
BPSK,0.0314,0.0628,0.25,32,0.25,0.005,0.9996,software,0.0,0.025,0,10,0.07426309585571289
QPSK,0.0314,0.0628,0.01,24,0.0,0.005,1.0001,hardware,90.0,0.0,9,10,0.05341792106628418
QPSK,0.0314,0.0628,0.025,24,0.12,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.05078625679016113
BPSK,0.0314,0.0628,1.0,64,0.35,0.005,1.0008,software,0.0,0.025,0,10,0.08148646354675293
BPSK,0.0314,0.0628,0.115,16,0.35,0.005,1.0004,hardware,60.0,0.010000000000000002,6,10,0.07772159576416016
QPSK,0.0314,0.0628,1.0,48,0.0,0.005,0.9999,software,0.0,0.5,0,10,0.06775569915771484
BPSK,0.0314,0.0628,1.0,16,0.05,0.005,1.0001,hardware,0.0,0.025,0,10,0.06388330459594727
BPSK,0.0314,0.0628,0.055,32,0.12,0.005,1.0001,hardware,90.0,0.0025000000000000005,9,10,0.0691368579864502
QPSK,0.0314,0.0628,0.25,32,0.5,0.005,1.0001,hardware,80.0,0.005000000000000001,8,10,0.062150001525878906
QPSK,0.005,0.1,0.025,32,0.02,0.01,1.0,software,90.0,0.0025000000000000005,9,10,0.04366421699523926
BPSK,0.0314,0.045,0.09,32,0.0,0.0,1.0,software,70.0,0.15,7,10,0.06824135780334473
BPSK,0.0314,0.0628,0.25,24,0.0,0.005,0.9999,software,80.0,0.1,8,10,0.06305146217346191
QPSK,0.14,0.0628,0.025,32,0.02,0.01,1.0,hardware,10.0,0.022500000000000003,1,10,0.056357622146606445
BPSK,0.0314,0.0628,0.01,48,0.05,0.005,0.9992,hardware,20.0,0.020000000000000004,2,10,0.064727783203125
BPSK,0.0314,0.0628,0.025,64,0.0,0.005,1.0001,software,70.0,0.15,7,10,0.06980490684509277
BPSK,0.0314,0.0628,0.25,16,0.05,0.005,1.0008,software,40.0,0.015,4,10,0.06768274307250977
QPSK,0.1,0.1,0.025,32,0.02,-0.03,1.0,hardware,90.0,0.0025000000000000005,9,10,0.0916745662689209
QPSK,0.0314,0.035,0.18,32,0.15,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.0524907112121582
QPSK,0.0314,0.0628,1.0,24,0.25,0.005,0.9992,hardware,0.0,0.025,0,10,0.06720376014709473
BPSK,0.0314,0.0628,0.25,32,0.08,0.005,0.9992,software,90.0,0.0025000000000000005,9,10,0.0542454719543457
QPSK,0.0314,0.11,0.5,32,0.15,0.0,1.0,software,0.0,0.025,0,10,0.06687188148498535
QPSK,0.0314,0.0628,0.055,16,0.0,0.005,0.9999,hardware,90.0,0.0,9,10,0.051863670349121094
BPSK,0.0314,0.0628,0.25,64,0.25,0.005,0.9999,hardware,70.0,0.0075,7,10,0.0589137077331543
BPSK,0.0314,0.005,0.09,32,0.0,0.0,1.0,software,70.0,0.15,7,10,0.06246638298034668
QPSK,0.0314,0.0628,0.01,32,0.12,0.005,1.0008,hardware,30.0,0.017499999999999998,3,10,0.054480791091918945
QPSK,0.0314,0.0628,0.055,16,0.18,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.061341047286987305
BPSK,0.0314,0.0628,1.0,16,0.18,0.005,0.9996,hardware,0.0,0.025,0,10,0.061920166015625
QPSK,0.0314,0.0628,0.055,24,0.25,0.005,1.0008,software,90.0,0.0025000000000000005,9,10,0.0561215877532959
QPSK,0.075,0.1,0.025,32,0.02,-0.02,1.0,hardware,90.0,0.0025000000000000005,9,10,0.05336642265319824
QPSK,0.0314,0.0628,0.25,24,0.12,0.005,1.0,software,80.0,0.005000000000000001,8,10,0.058341264724731445
QPSK,0.0314,0.0628,0.025,64,0.5,0.005,1.0004,software,90.0,0.0025000000000000005,9,10,0.06124615669250488
QPSK,0.0314,0.0628,0.5,64,0.02,0.005,1.0008,software,0.0,0.025,0,10,0.05975341796875
QPSK,0.0314,0.0628,0.5,48,0.08,0.005,0.9992,hardware,0.0,0.025,0,10,0.04926776885986328
BPSK,0.0314,0.0628,0.115,24,0.12,0.005,0.9996,software,80.0,0.005000000000000001,8,10,0.07062435150146484
BPSK,0.0314,0.0628,0.5,16,0.08,0.005,1.0,software,0.0,0.025,0,10,0.059625864028930664
QPSK,0.1,0.03,0.025,32,0.02,-0.02,1.0,software,0.0,0.025,0,10,0.04984474182128906
QPSK,0.0314,0.0628,1.0,16,0.0,0.005,1.0001,software,0.0,0.5,0,10,0.04954338073730469
QPSK,0.0314,0.0628,0.01,24,0.18,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.06768083572387695
BPSK,0.0314,0.0628,1.0,16,0.5,0.005,0.9996,hardware,0.0,0.025,0,10,0.0706179141998291
QPSK,0.0314,0.045,0.005,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.06268548965454102
QPSK,0.0314,0.165,0.018,32,0.15,0.0,1.0,software,90.0,0.0025000000000000005,9,10,0.052016258239746094
BPSK,0.0314,0.0628,0.5,64,0.02,0.005,1.0004,hardware,0.0,0.025,0,10,0.08017921447753906
